timestamp,open,high,low,close,volume
1763573400000,1.28832,1.28845,1.27552,1.27638,103232.2
1763573700000,1.27763,1.28097,1.27177,1.27452,160941.19
1763574000000,1.27378,1.28602,1.2727,1.28058,163931.78
1763574300000,1.27947,1.28252,1.27569,1.28058,162224.47
1763574600000,1.28026,1.29412,1.27922,1.29006,68406.56
1763574900000,1.28874,1.29642,1.28874,1.29642,37330.08
1763575200000,1.29583,1.29928,1.29259,1.29352,124630.08
1763575500000,1.29352,1.295,1.28458,1.29155,328793.64
1763575800000,1.2901,1.2928,1.28694,1.29,86371.94
1763576100000,1.29,1.29,1.27922,1.28312,64670.69
1763576400000,1.28303,1.2865,1.28023,1.2806,34246.7
1763576700000,1.28111,1.28357,1.27451,1.28291,188679.29
1763577000000,1.28248,1.28874,1.28189,1.28738,43714.26
1763577300000,1.28602,1.28874,1.28111,1.28194,79476.19
1763577600000,1.28112,1.28241,1.27673,1.28024,72644.02
1763577900000,1.28063,1.28445,1.27999,1.28445,35149.01
1763578200000,1.28352,1.28479,1.28,1.28194,49690.91
1763578500000,1.28151,1.285,1.28,1.285,84953.61
1763578800000,1.2833,1.28338,1.27586,1.27703,148430.47
1763579100000,1.27751,1.28031,1.2719,1.28031,41734.05
1763579400000,1.27878,1.27878,1.27186,1.27859,35167.68
1763579700000,1.2765,1.2765,1.26856,1.27055,51291.75
1763580000000,1.26998,1.27002,1.26562,1.26829,16123.63
1763580300000,1.2697,1.27,1.26668,1.27,122345.89
1763580600000,1.26998,1.27149,1.26497,1.26854,87207.61
1763580900000,1.26965,1.27172,1.26,1.26343,630572.53
1763581200000,1.26378,1.27548,1.26351,1.275,645001.17
1763581500000,1.275,1.27883,1.275,1.27725,69282.63
1763581800000,1.27607,1.28194,1.275,1.27852,146825.49
1763582100000,1.27852,1.28152,1.27451,1.27601,99040.41
1763582400000,1.2765,1.27786,1.27274,1.27334,36331.29
1763582700000,1.2743,1.27451,1.27046,1.27046,10714.38
1763583000000,1.27,1.28831,1.26784,1.28466,283994.85
1763583300000,1.28602,1.29008,1.28152,1.28215,168131.19
1763583600000,1.28145,1.28508,1.27499,1.27922,233327.49
1763583900000,1.27934,1.28505,1.27806,1.28505,196950.05
1763584200000,1.28515,1.28602,1.27378,1.285,274147.01
1763584500000,1.285,1.29684,1.285,1.2901,226712.77
1763584800000,1.29085,1.29085,1.28178,1.2868,275687.34
1763585100000,1.28738,1.29218,1.28652,1.29055,146720.19
1763585400000,1.29015,1.29554,1.2901,1.29282,162661.07
1763585700000,1.29157,1.29601,1.28656,1.28885,214756.08
1763586000000,1.28861,1.29357,1.28725,1.29352,103308.42
1763586300000,1.29352,1.29663,1.28856,1.29085,84092.11
1763586600000,1.28956,1.29255,1.28752,1.28752,66499.4
1763586900000,1.28738,1.29305,1.28655,1.29275,44913.75
1763587200000,1.29306,1.316,1.29306,1.30738,540309.34
1763587500000,1.30803,1.30804,1.29185,1.2942,225312.93
1763587800000,1.2947,1.30657,1.2942,1.30534,127753.71
1763588100000,1.30506,1.31186,1.3037,1.30642,185296.82
1763588400000,1.30506,1.30564,1.29701,1.30564,159956.04
1763588700000,1.30642,1.30677,1.30124,1.30241,91077.4
1763589000000,1.30157,1.30982,1.30153,1.30932,37679.94
1763589300000,1.30957,1.31729,1.30849,1.31317,105205.07
1763589600000,1.31317,1.32098,1.30753,1.319,166691.31
1763589900000,1.31953,1.32038,1.31157,1.31595,66132.88
