timestamp,open,high,low,close,volume
1769848200000,83021.0,83021.0,82795.0,82847.0,1.31095
1769848500000,82833.0,82923.0,82665.0,82839.0,1.69196
1769848800000,82838.0,82838.0,82500.0,82671.0,1.80961
1769849100000,82675.0,82766.0,82615.0,82696.0,2.36297
1769849400000,82723.0,82995.0,82723.0,82926.0,1.4399
1769849700000,82928.0,83086.0,82928.0,82960.0,3.99253
1769850000000,82961.0,83153.0,82961.0,83053.0,1.19748
1769850300000,83071.0,83155.0,82972.0,83036.0,0.34744
1769850600000,83021.0,83090.0,83021.0,83025.0,3.71577
1769850900000,83027.0,83054.0,82963.0,82987.0,0.63962
1769851200000,82992.0,82992.0,82803.0,82803.0,0.38681
1769851500000,82796.0,82902.0,82783.0,82897.0,0.24166
1769851800000,82895.0,83176.0,82895.0,83118.0,0.32971
1769852100000,83131.0,83187.0,83064.0,83085.0,1.83601
1769852400000,83116.0,83135.0,83107.0,83107.0,0.11127
1769852700000,83110.0,83110.0,82999.0,83000.0,0.0476
1769853000000,83009.0,83080.0,82980.0,83023.0,0.09133
1769853300000,83024.0,83062.0,82985.0,82985.0,1.02748
1769853600000,82989.0,83047.0,82966.0,82967.0,0.2658
1769853900000,82949.0,82996.0,82852.0,82859.0,0.16041
1769854200000,82876.0,82942.0,82876.0,82911.0,0.27989
1769854500000,82884.0,82899.0,82813.0,82839.0,0.7
1769854800000,82841.0,82948.0,82840.0,82893.0,0.35335
1769855100000,82905.0,82971.0,82905.0,82956.0,0.30653
1769855400000,82954.0,83084.0,82952.0,83004.0,1.25989
1769855700000,83005.0,83024.0,82957.0,83001.0,0.39674
1769856000000,83001.0,83071.0,82997.0,83071.0,0.57561
1769856300000,83069.0,83069.0,82996.0,83016.0,0.19218
1769856600000,83016.0,83054.0,82964.0,83054.0,0.16328
1769856900000,83054.0,83080.0,83002.0,83053.0,0.21017
1769857200000,83053.0,83053.0,82932.0,82934.0,0.24187
1769857500000,82934.0,82976.0,82921.0,82967.0,0.1747
1769857800000,82970.0,82971.0,82900.0,82903.0,0.66232
